AKT1	DKFZP564G2263	->
AKT1	DKFZP686G1648	->
AKT1	E2F1	->
AKT1	EGR1	->
AKT1	EIF2B5	->
AKT1	EIF2S2	->
AKT1	EIF4EBP1	->
AKT1	EP300	->
AKT1	ETS2	->
AKT1	FKHR	->
AKT1	FOS	->
AKT1	FOXA2	->
AKT1	FRAT1	->
AKT1	GATA3	->
AKT1	GLI2	->
AKT1	GNB1	->
AKT1	GNGT1	->
AKT1	HIF1A	->
AKT1	MAL	->
AKT1	MAP3K1	->
AKT1	MAP3K14	->
AKT1	MEF2B	->
AKT1	MEF2C	->
AKT1	MEF2D	->
AKT1	MKNK1	->
AKT1	MST1	->
AKT1	MST1R	->
AKT1	MYC	->
AKT1	MYLK	->
AKT1	MYOD1	->
AKT1	NCOR2	->
AKT1	NDEL1	->
AKT1	NRIP1	->
AKT1	PFKP	->
AKT1	PKN1	->
AKT1	PLA2G1B	->
AKT1	PRKCA	->
AKT1	PRKCB	->
AKT1	RALGDS	->
AKT1	RB1	->
AKT1	RPS6KA5	->
AKT1	RXRA	->
AKT1	RXRB	->
AKT1	RXRG	->
AKT1	S1PR1	->
AKT1	SFN	->
AKT1	SOD1	->
AKT1	SOD2	->
AKT1	STMN1	->
AKT1	UBE2D1	->
AKT1S1	EIF4E	->
AKT2	BAD	->
AKT2	DEPTOR	->
AKT2	MLST8	->
AKT2	RPTOR	->
ALAD	ALAS1	->
ALOX15B	GRB2	->
AMH	SMAD1	->
AMH	SMAD5	->
AMH	SMAD9	->
AMHR2	SMAD1	->
AMHR2	SMAD5	->
AMHR2	SMAD9	->
AMOT	LATS2	->
AMOT	MOB1A	->
AMOT	MOB1B	->
AMOTL1	LATS2	->
AMOTL1	MOB1A	->
AMOTL1	MOB1B	->
AMOTL2	LATS2	->
AMOTL2	MOB1A	->
AMOTL2	MOB1B	->
AMPH	EGF	->
AMPH	EGFR	->
ANGPT1	BMX	->
ANGPT1	CRK	->
ANGPT1	FES	->
ANGPT1	MAPK14	->
ANGPT1	MAPK8	->
ANGPT1	MMP2	->
ANGPT1	NCK1	->
ANGPT1	NFKB1	->
ANGPT1	PLD2	->
ANGPT1	PLG	->
ANGPT1	RASA1	->
ANGPT1	RELA	->
ANGPT2	FES	->
ANGPT2	FYN	->
ANGPT2	MAPK14	->
